date,value,yoy
1980-11-03,1595.2,
1980-11-10,1601.2,
1980-11-17,1602.9,
1980-11-24,1594.8,
1980-12-01,1599.8,
1980-12-08,1605.3,
1980-12-15,1606.3,
1980-12-22,1602.5,
1980-12-29,1601.8,
1981-01-05,1620.7,
1981-01-12,1616.7,
1981-01-19,1614.4,
1981-01-26,1599.8,
1981-02-02,1601.0,
1981-02-09,1610.7,
1981-02-16,1611.8,
1981-02-23,1609.0,
1981-03-02,1615.7,
1981-03-09,1629.4,
1981-03-16,1633.5,
1981-03-23,1630.9,
1981-03-30,1637.5,
1981-04-06,1663.6,
1981-04-13,1669.5,
1981-04-20,1672.1,
1981-04-27,1657.1,
1981-05-04,1657.3,
1981-05-11,1659.1,
1981-05-18,1655.8,
1981-05-25,1648.4,
1981-06-01,1656.7,
1981-06-08,1667.5,
1981-06-15,1671.1,
1981-06-22,1665.4,
1981-06-29,1661.8,
1981-07-06,1688.5,
1981-07-13,1687.5,
1981-07-20,1685.6,
1981-07-27,1679.3,
1981-08-03,1687.4,
1981-08-10,1699.3,
1981-08-17,1695.9,
1981-08-24,1690.5,
1981-08-31,1693.3,
1981-09-07,1706.4,
1981-09-14,1714.4,
1981-09-21,1706.1,
1981-09-28,1697.7,
1981-10-05,1722.1,
1981-10-12,1729.4,
1981-10-19,1729.5,
1981-10-26,1720.8,
1981-11-02,1728.3,8.343781344032086
1981-11-09,1740.8,8.718461154134394
1981-11-16,1743.8,8.790317549441617
1981-11-23,1735.2,8.803611738148987
1981-11-30,1744.6,9.051131391423928
1981-12-07,1759.2,9.586993085404604
1981-12-14,1759.1,9.512544356595898
1981-12-21,1760.2,9.84087363494539
1981-12-28,1758.2,9.7640154825821
1982-01-04,1780.1,9.835256370704016
1982-01-11,1783.3,10.304942166140908
1982-01-18,1776.5,10.040882061446975
1982-01-25,1761.4,10.101262657832244
1982-02-01,1762.5,10.087445346658331
1982-02-08,1767.9,9.759731793630099
1982-02-15,1767.1,9.635190470281675
1982-02-22,1761.3,9.46550652579241
1982-03-01,1765.5,9.27152317880795
1982-03-08,1779.6,9.218117098318391
1982-03-15,1782.9,9.146005509641885
1982-03-22,1779.7,9.123796676681572
1982-03-29,1780.8,8.751145038167941
1982-04-05,1808.5,8.710026448665541
1982-04-12,1816.3,8.793051811919739
1982-04-19,1813.8,8.474373542252266
1982-04-26,1799.4,8.587291050630629
1982-05-03,1795.3,8.32679659687443
1982-05-10,1805.0,8.793924416852516
1982-05-17,1804.9,9.004710713854337
1982-05-24,1801.9,9.312060179568071
1982-05-31,1808.8,9.180901792720464
1982-06-07,1825.5,9.475262368815596
1982-06-14,1828.9,9.442881934055425
1982-06-21,1822.6,9.439173772066756
1982-06-28,1813.3,9.116620531953302
1982-07-05,1836.5,8.765176191886281
1982-07-12,1840.6,9.072592592592589
1982-07-19,1834.4,8.827717133364988
1982-07-26,1828.1,8.86083487167273
1982-08-02,1834.5,8.717553632807862
1982-08-09,1847.1,8.697699052551044
1982-08-16,1848.2,8.980482339760588
1982-08-23,1844.2,9.091984619934923
1982-08-30,1843.9,8.89387586369812
1982-09-06,1859.5,8.972105016408815
1982-09-13,1867.0,8.901073261782532
1982-09-20,1860.8,9.067463806341959
1982-09-27,1848.5,8.88260587854155
1982-10-04,1869.8,8.576737703966097
1982-10-11,1877.6,8.569446050653395
1982-10-18,1878.0,8.586296617519507
1982-10-25,1869.8,8.658763365876343
1982-11-01,1877.5,8.632760516114102
1982-11-08,1890.6,8.605238970588225
1982-11-15,1893.7,8.596169285468513
1982-11-22,1887.5,8.777086214845543
1982-11-29,1887.8,8.208185257365596
1982-12-06,1901.5,8.088904047294232
1982-12-13,1900.9,8.060940253538762
1982-12-20,1915.9,8.845585728894445
1982-12-27,1921.4,9.282220452735746
1983-01-03,1945.4,9.285995168810746
1983-01-10,1966.3,10.261874053720632
1983-01-17,1967.8,10.7683647621728
1983-01-24,1960.8,11.320540479164286
1983-01-31,1963.5,11.404255319148927
1983-02-07,1983.4,12.189603484359978
1983-02-14,1986.3,12.404504555486383
1983-02-21,1984.3,12.66110259467439
1983-02-28,1989.0,12.659303313508929
1983-03-07,2008.8,12.879298718813214
1983-03-14,2010.2,12.7488922541926
1983-03-21,2009.6,12.917907512502103
1983-03-28,2006.0,12.646001796945194
1983-04-04,2033.0,12.413602432955484
1983-04-11,2041.8,12.415349887133175
1983-04-18,2037.2,12.316683206527745
1983-04-25,2022.9,12.420806935645224
1983-05-02,2022.0,12.627416030746952
1983-05-09,2032.3,12.592797783933518
1983-05-16,2034.8,12.737547786580961
1983-05-23,2030.6,12.692158277373867
1983-05-30,2031.0,12.284387439186206
1983-06-06,2055.1,12.577376061353052
1983-06-13,2059.9,12.630542949313806
1983-06-20,2052.4,12.6083616811149
1983-06-27,2040.1,12.507582859979038
1983-07-04,2064.4,12.409474543969523
1983-07-11,2078.0,12.89796805389547
